iter	Passed	Remaining
0	149	74588
1	153	38137
2	157	26132
3	163	20274
4	167	16543
5	170	14074
6	175	12351
7	179	11027
8	182	9978
9	186	9134
10	191	8495
11	195	7930
12	198	7438
13	202	7015
14	207	6709
15	211	6389
16	214	6104
17	218	5843
18	223	5655
19	227	5453
20	230	5267
21	234	5099
22	238	4952
23	242	4813
24	246	4677
25	249	4552
26	253	4444
27	257	4341
28	261	4239
29	264	4148
30	268	4068
31	272	3991
32	276	3912
33	280	3839
34	284	3774
35	288	3712
36	291	3649
37	295	3590
38	299	3536
39	302	3484
40	306	3432
41	310	3381
42	313	3332
43	317	3292
44	321	3252
45	325	3209
46	328	3168
47	333	3141
48	337	3110
49	341	3073
50	344	3035
51	349	3013
52	354	2987
53	357	2954
54	361	2922
55	365	2898
56	370	2876
57	373	2847
58	377	2819
59	382	2801
60	386	2778
61	389	2752
62	393	2726
63	397	2710
64	401	2689
65	405	2665
66	409	2643
67	414	2632
68	418	2611
69	421	2590
70	425	2568
71	429	2552
72	433	2532
73	436	2513
74	440	2493
75	444	2481
76	448	2464
77	452	2446
78	455	2428
79	460	2416
80	464	2400
81	467	2384
82	471	2369
83	475	2355
84	479	2341
85	483	2326
86	486	2310
87	490	2295
88	493	2281
89	497	2266
90	501	2252
91	504	2237
92	508	2227
93	513	2215
94	517	2204
95	520	2190
96	524	2179
97	528	2166
98	532	2155
99	535	2142
100	539	2131
101	543	2119
102	547	2108
103	550	2097
104	555	2088
105	559	2079
106	563	2068
107	566	2057
108	570	2047
109	574	2037
110	578	2027
111	582	2017
112	585	2005
113	589	1996
114	593	1986
115	596	1976
116	600	1965
117	604	1957
118	608	1947
119	611	1937
120	615	1926
121	619	1917
122	623	1910
123	627	1901
124	630	1891
125	634	1882
126	638	1876
127	642	1866
128	645	1857
129	649	1848
130	654	1842
131	658	1834
132	661	1825
133	665	1817
134	669	1810
135	673	1802
136	677	1794
137	681	1787
138	685	1780
139	689	1772
140	692	1764
141	696	1756
142	700	1749
143	704	1742
144	708	1734
145	712	1728
146	717	1722
147	721	1715
148	725	1708
149	728	1700
150	732	1693
151	736	1686
152	740	1679
153	743	1670
154	747	1664
155	752	1658
156	755	1651
157	759	1644
158	764	1638
159	768	1632
160	772	1625
161	775	1617
162	779	1611
163	784	1606
164	787	1599
165	791	1592
166	795	1587
167	800	1581
168	803	1574
169	807	1566
170	811	1561
171	817	1558
172	820	1551
173	824	1544
174	829	1539
175	833	1533
176	836	1526
177	840	1519
178	844	1513
179	848	1507
180	851	1501
181	855	1494
182	860	1490
183	864	1485
184	868	1478
185	872	1472
186	877	1469
187	881	1463
188	885	1456
189	891	1453
190	895	1448
191	899	1442
192	903	1437
193	908	1432
194	912	1427
195	915	1420
196	919	1414
197	924	1409
198	928	1403
199	931	1397
200	935	1390
201	938	1385
202	942	1379
203	946	1373
204	950	1367
205	954	1361
206	957	1355
207	961	1350
208	965	1344
209	969	1338
210	973	1332
211	977	1327
212	980	1321
213	984	1315
214	988	1309
215	992	1305
216	996	1298
217	999	1293
218	1003	1287
219	1007	1282
220	1011	1277
221	1015	1271
222	1019	1266
223	1023	1260
224	1026	1254
225	1030	1248
226	1034	1244
227	1038	1239
228	1042	1233
229	1045	1227
230	1051	1224
231	1055	1219
232	1059	1213
233	1062	1207
234	1066	1202
235	1070	1197
236	1074	1192
237	1077	1186
238	1082	1182
239	1087	1177
240	1090	1172
241	1094	1166
242	1099	1162
243	1103	1157
244	1107	1152
245	1110	1147
246	1115	1142
247	1119	1137
248	1122	1131
249	1126	1126
250	1131	1122
251	1135	1117
252	1139	1112
253	1142	1106
254	1146	1101
255	1150	1096
256	1154	1091
257	1158	1086
258	1162	1081
259	1166	1076
260	1170	1071
261	1173	1066
262	1178	1061
263	1182	1057
264	1186	1051
265	1189	1046
266	1193	1041
267	1198	1037
268	1202	1032
269	1205	1026
270	1209	1022
271	1214	1017
272	1217	1012
273	1221	1007
274	1225	1002
275	1230	998
276	1234	993
277	1237	988
278	1242	984
279	1246	979
280	1250	974
281	1253	968
282	1258	965
283	1262	960
284	1266	955
285	1269	950
286	1274	946
287	1278	941
288	1292	943
289	1297	939
290	1302	935
291	1308	932
292	1313	927
293	1316	922
294	1322	918
295	1326	914
296	1330	909
297	1334	904
298	1338	899
299	1342	895
300	1346	889
301	1349	884
302	1354	880
303	1358	875
304	1361	870
305	1365	865
306	1369	861
307	1373	856
308	1377	851
309	1381	846
310	1385	842
311	1391	838
312	1394	833
313	1398	828
314	1402	823
315	1407	819
316	1410	814
317	1414	809
318	1418	804
319	1423	800
320	1426	795
321	1430	790
322	1434	786
323	1438	781
324	1442	776
325	1445	771
326	1449	766
327	1453	762
328	1457	757
329	1460	752
330	1464	747
331	1468	743
332	1472	738
333	1476	733
334	1481	729
335	1485	724
336	1488	720
337	1492	715
338	1496	710
339	1500	706
340	1504	701
341	1507	696
342	1511	691
343	1515	687
344	1519	682
345	1522	677
346	1526	673
347	1531	669
348	1535	664
349	1539	659
350	1542	654
351	1546	650
352	1550	645
353	1554	640
354	1557	636
355	1561	631
356	1566	627
357	1569	622
358	1573	618
359	1577	613
360	1581	608
361	1585	604
362	1589	599
363	1593	595
364	1597	590
365	1601	586
366	1604	581
367	1608	577
368	1613	572
369	1617	568
370	1620	563
371	1625	559
372	1629	554
373	1633	550
374	1636	545
375	1641	541
376	1645	537
377	1649	532
378	1653	527
379	1658	523
380	1662	519
381	1665	514
382	1669	510
383	1674	505
384	1679	501
385	1682	496
386	1686	492
387	1691	488
388	1694	483
389	1698	478
390	1702	474
391	1706	470
392	1710	465
393	1714	461
394	1718	456
395	1722	452
396	1726	447
397	1729	443
398	1733	438
399	1737	434
400	1741	430
401	1745	425
402	1749	420
403	1753	416
404	1757	412
405	1761	407
406	1764	403
407	1768	398
408	1772	394
409	1776	389
410	1780	385
411	1784	381
412	1788	376
413	1792	372
414	1795	367
415	1800	363
416	1804	359
417	1807	354
418	1811	350
419	1815	345
420	1819	341
421	1823	336
422	1826	332
423	1830	328
424	1834	323
425	1838	319
426	1842	314
427	1845	310
428	1850	306
429	1854	301
430	1857	297
431	1861	292
432	1866	288
433	1870	284
434	1874	280
435	1877	275
436	1882	271
437	1886	267
438	1889	262
439	1893	258
440	1898	253
441	1902	249
442	1905	245
443	1909	240
444	1914	236
445	1917	232
446	1921	227
447	1924	223
448	1929	219
449	1933	214
450	1936	210
