datetime,num_orders,date,hour,dayofweek,day_name
2018-03-01 00:00:00,124,2018-03-01,0,3,Thursday
2018-03-01 01:00:00,85,2018-03-01,1,3,Thursday
2018-03-01 02:00:00,71,2018-03-01,2,3,Thursday
2018-03-01 03:00:00,66,2018-03-01,3,3,Thursday
2018-03-01 04:00:00,43,2018-03-01,4,3,Thursday
2018-03-01 05:00:00,6,2018-03-01,5,3,Thursday
2018-03-01 06:00:00,12,2018-03-01,6,3,Thursday
2018-03-01 07:00:00,15,2018-03-01,7,3,Thursday
2018-03-01 08:00:00,34,2018-03-01,8,3,Thursday
2018-03-01 09:00:00,69,2018-03-01,9,3,Thursday
2018-03-01 10:00:00,64,2018-03-01,10,3,Thursday
2018-03-01 11:00:00,96,2018-03-01,11,3,Thursday
2018-03-01 12:00:00,30,2018-03-01,12,3,Thursday
2018-03-01 13:00:00,32,2018-03-01,13,3,Thursday
2018-03-01 14:00:00,48,2018-03-01,14,3,Thursday
2018-03-01 15:00:00,66,2018-03-01,15,3,Thursday
2018-03-01 16:00:00,43,2018-03-01,16,3,Thursday
2018-03-01 17:00:00,44,2018-03-01,17,3,Thursday
2018-03-01 18:00:00,73,2018-03-01,18,3,Thursday
2018-03-01 19:00:00,45,2018-03-01,19,3,Thursday
2018-03-01 20:00:00,61,2018-03-01,20,3,Thursday
2018-03-01 21:00:00,66,2018-03-01,21,3,Thursday
2018-03-01 22:00:00,113,2018-03-01,22,3,Thursday
2018-03-01 23:00:00,58,2018-03-01,23,3,Thursday
2018-03-02 00:00:00,90,2018-03-02,0,4,Friday
2018-03-02 01:00:00,120,2018-03-02,1,4,Friday
2018-03-02 02:00:00,75,2018-03-02,2,4,Friday
2018-03-02 03:00:00,64,2018-03-02,3,4,Friday
2018-03-02 04:00:00,20,2018-03-02,4,4,Friday
2018-03-02 05:00:00,11,2018-03-02,5,4,Friday
2018-03-02 06:00:00,11,2018-03-02,6,4,Friday
2018-03-02 07:00:00,7,2018-03-02,7,4,Friday
2018-03-02 08:00:00,46,2018-03-02,8,4,Friday
2018-03-02 09:00:00,45,2018-03-02,9,4,Friday
2018-03-02 10:00:00,54,2018-03-02,10,4,Friday
2018-03-02 11:00:00,91,2018-03-02,11,4,Friday
2018-03-02 12:00:00,36,2018-03-02,12,4,Friday
2018-03-02 13:00:00,45,2018-03-02,13,4,Friday
